2/27/19|$322,000,000|21|31|42|49|59|23
2/23/19|$304,000,000|4|6|14|20|32|13
2/20/19|$282,000,000|27|49|50|51|52|2
2/16/19|$260,000,000|29|30|41|48|64|1
2/13/19|$242,000,000|2|8|14|24|69|26
2/9/19|$224,000,000|1|2|3|7|39|25
2/6/19|$204,000,000|5|13|28|38|63|21
2/2/19|$191,000,000|10|17|18|43|65|13
1/30/19|$174,000,000|2|12|16|29|54|6
1/26/19|$161,000,000|8|12|20|21|32|10
1/23/19|$144,000,000|23|25|47|48|50|24
1/19/19|$129,000,000|5|8|41|65|66|20
1/16/19|$112,000,000|14|29|31|56|61|1
1/12/19|$96,000,000|7|36|48|57|58|24
1/9/19|$82,000,000|6|19|37|49|59|22
1/5/19|$69,000,000|3|7|15|27|69|19
1/2/19|$53,000,000|8|12|42|46|56|12
12/29/18|$40,000,000|12|42|51|53|62|25
12/26/18|$294,000,000|5|25|38|52|67|24
12/22/18|$281,000,000|21|28|30|40|59|26
12/19/18|$262,000,000|15|29|31|37|43|16
12/15/18|$246,000,000|8|38|43|52|55|17
12/12/18|$230,000,000|4|9|21|29|64|26
12/8/18|$217,000,000|14|32|34|46|61|10
12/5/18|$200,000,000|9|11|36|37|38|11
12/1/18|$183,000,000|10|11|47|55|58|26
11/28/18|$171,000,000|4|19|59|68|69|21
11/24/18|$155,000,000|11|33|51|56|58|18
11/21/18|$139,000,000|7|14|23|38|55|18
11/17/18|$124,000,000|6|8|20|52|68|5
11/14/18|$107,000,000|7|42|49|62|69|23
11/10/18|$92,000,000|5|29|34|53|57|24
11/7/18|$71,000,000|26|28|34|42|50|25
11/3/18|$53,000,000|15|21|24|32|65|11
10/31/18|$40,000,000|7|25|39|40|47|20
10/27/18|$750,000,000|8|12|13|19|27|4
10/24/18|$620,000,000|3|21|45|53|56|22
10/20/18|$470,000,000|16|54|57|62|69|23
10/17/18|$345,000,000|3|57|64|68|69|15
10/13/18|$314,000,000|11|14|32|43|65|15
10/10/18|$282,000,000|8|23|27|42|60|7
10/6/18|$253,000,000|1|22|27|53|67|15
10/3/18|$229,000,000|41|53|59|63|66|3
9/29/18|$213,000,000|9|17|34|59|64|22
9/26/18|$193,000,000|1|2|7|30|50|8
9/22/18|$178,000,000|24|61|63|64|69|18
9/19/18|$163,000,000|4|39|48|50|51|11
9/15/18|$147,000,000|2|18|19|24|34|3
9/12/18|$132,000,000|6|28|48|63|64|24
9/8/18|$114,000,000|3|13|20|32|33|21
9/5/18|$100,000,000|6|15|50|59|60|13
9/1/18|$90,000,000|11|54|55|61|66|9
8/29/18|$80,000,000|25|41|53|57|67|12
8/25/18|$70,000,000|20|25|54|57|63|8
8/22/18|$60,000,000|1|7|45|47|69|13
