4|6|14|20|32|13|21|31|42|49|59|23
27|49|50|51|52|2|4|6|14|20|32|13
29|30|41|48|64|1|27|49|50|51|52|2
2|8|14|24|69|26|29|30|41|48|64|1
1|2|3|7|39|25|2|8|14|24|69|26
5|13|28|38|63|21|1|2|3|7|39|25
10|17|18|43|65|13|5|13|28|38|63|21
2|12|16|29|54|6|10|17|18|43|65|13
8|12|20|21|32|10|2|12|16|29|54|6
23|25|47|48|50|24|8|12|20|21|32|10
5|8|41|65|66|20|23|25|47|48|50|24
14|29|31|56|61|1|5|8|41|65|66|20
7|36|48|57|58|24|14|29|31|56|61|1
6|19|37|49|59|22|7|36|48|57|58|24
3|7|15|27|69|19|6|19|37|49|59|22
8|12|42|46|56|12|3|7|15|27|69|19
12|42|51|53|62|25|8|12|42|46|56|12
5|25|38|52|67|24|12|42|51|53|62|25
21|28|30|40|59|26|5|25|38|52|67|24
15|29|31|37|43|16|21|28|30|40|59|26
8|38|43|52|55|17|15|29|31|37|43|16
4|9|21|29|64|26|8|38|43|52|55|17
14|32|34|46|61|10|4|9|21|29|64|26
9|11|36|37|38|11|14|32|34|46|61|10
10|11|47|55|58|26|9|11|36|37|38|11
4|19|59|68|69|21|10|11|47|55|58|26
11|33|51|56|58|18|4|19|59|68|69|21
7|14|23|38|55|18|11|33|51|56|58|18
6|8|20|52|68|5|7|14|23|38|55|18
7|42|49|62|69|23|6|8|20|52|68|5
5|29|34|53|57|24|7|42|49|62|69|23
26|28|34|42|50|25|5|29|34|53|57|24
15|21|24|32|65|11|26|28|34|42|50|25
7|25|39|40|47|20|15|21|24|32|65|11
8|12|13|19|27|4|7|25|39|40|47|20
3|21|45|53|56|22|8|12|13|19|27|4
16|54|57|62|69|23|3|21|45|53|56|22
3|57|64|68|69|15|16|54|57|62|69|23
11|14|32|43|65|15|3|57|64|68|69|15
8|23|27|42|60|7|11|14|32|43|65|15
1|22|27|53|67|15|8|23|27|42|60|7
41|53|59|63|66|3|1|22|27|53|67|15
9|17|34|59|64|22|41|53|59|63|66|3
1|2|7|30|50|8|9|17|34|59|64|22
24|61|63|64|69|18|1|2|7|30|50|8
4|39|48|50|51|11|24|61|63|64|69|18
2|18|19|24|34|3|4|39|48|50|51|11
6|28|48|63|64|24|2|18|19|24|34|3
3|13|20|32|33|21|6|28|48|63|64|24
6|15|50|59|60|13|3|13|20|32|33|21
11|54|55|61|66|9|6|15|50|59|60|13
25|41|53|57|67|12|11|54|55|61|66|9
20|25|54|57|63|8|25|41|53|57|67|12
1|7|45|47|69|13|20|25|54|57|63|8
24|34|52|61|67|16|1|7|45|47|69|13
12|15|28|47|48|16|24|34|52|61|67|16
5|43|56|62|68|24|12|15|28|47|48|16
10|21|30|43|63|17|5|43|56|62|68|24
3|11|38|44|58|2|10|21|30|43|63|17
5|22|32|38|58|26|3|11|38|44|58|2
22|27|46|56|65|13|5|22|32|38|58|26
2|18|41|44|64|26|22|27|46|56|65|13
9|23|56|58|68|1|2|18|41|44|64|26
1|10|27|28|36|12|9|23|56|58|68|1
22|41|42|49|67|11|1|10|27|28|36|12
